Colour ID,RGB,Hex
1,"0,60,16",003c10
2,"0,60,67",003c43
3,"0,61,88",003d58
4,"0,52,81",3451
5,"0,32,68",2044
6,"17,0,55",110037
7,"49,0,51",310033
8,"74,0,45",4a002d
9,"86,0,43",56002b
10,"84,0,4",540004
11,"84,0,0",540000
12,"85,37,0",552500
13,"86,53,0",563500
14,"87,68,0",574400
15,"88,83,0",585300
16,"68,77,0",444d00
17,"19,067,5",134305
18,"0,88,38",5826
19,"0,89,73",5949
20,"0,91,127",005b7f
21,"0,80,117",5075
22,"0,57,100",3964
23,"38,29,84",261d54
24,"76,18,79",4c124f
25,"107,0,73",6b0049
26,"123,0,70",7b0046
27,"121,0,32",790020
29,"121,0,0",790000
30,"124,063,0",7c3f00
31,"126,083,0",7e5300
32,"128,103,0",806700
33,"130,123,0",827b00
34,"105,114,6",697206
35,"47,99,28",2f631c
36,"114,054",7236
37,"115,096",7360
38,"118,163",0076a3
39,"105,151",6997
40,"0,79,130",004f82
41,"54,48,110",36306e
42,"100,37,104",642568
43,"138,9,97",8a0961
44,"158,0,93",9e005d
45,"158,0,50",9E+32
47,"150,11,15",960b0f
48,"162,85,11",a2550b
49,"164,110,8",a46e08
50,"168,135,1",a88701
51,"171,160,0",aba000
52,"139,148,020",8b9414
53,"70,129,043",46812b
54,"140,068",008c44
55,"142,119",8E+77
56,"146,200",0092c8
57,"130,186",0082ba
58,"99,159",00639f
59,"68,064,136",444088
60,"124,053,128",7c3580
61,"171,027,120",ab1b78
62,"196,0,117",c40075
63,"196,013,066",c40d42
65,"196,022,028",c4161c
66,"202,108,024",ca6c18
67,"206,138,020",ce8a14
68,"211,168,009",d3a809
69,"216,200,0",d8c800
70,"176,185,029",b0b91d
71,"92,160,056",5ca038
72,"166,081",00a651
73,"168,142",00a88e
74,"174,239",00aeef
75,"155,222",009bde
76,"119,190",0077be
77,"082,79,161",524fa1
78,"147,067,153",934399
79,"205,0,140",cd008c
80,"236,0,140",ec008c
81,"237,28,36",ed1c24
82,"243,112,33",f37021
83,"250,166,26",faa61a
84,"255,203,5",ffcb05
85,"250,166,26",faa61a
86,"255,203,5",ffcb05
87,"255,242,0",fff200
88,"215,223,35",d7df23
89,"114,191,68",72bf44
90,"178,107",00b26b
91,"181,160",00b5a0
92,"185,242",00b9f2
93,"169,227",00a9e3
94,"77,137,200",4d89c8
95,"111,105,176",6f69b0
96,"163,102,170",a366aa
97,"212,095,164",d45fa4
98,"239,091,161",ef5ba1
99,"241,091,105",f15b69
101,"241,091,064",f15b40
102,"244,124,68",f47c44
103,"252,182,76",fcb64c
104,"255,212,79",ffd44f
105,"255,244,80",fff450
106,"222,228,89",dee459
107,"143,200,100",8fc864
108,"103,193,140",67c18c
109,"94,196,180",5ec4b4
110,"68,200,245",44c8f5
111,"92,185,233",5cb9e9
112,"120,160,212",78a0d4
113,"139,133,192",8b85c0
114,"181,134,188",b586bc
115,"220,134,184",dc86b8
116,"242,135,183",f287b7
117,"244,133,134",f48586
119,"245,132,102",f58466
120,"247,153,108",f7996c
121,"254,199,121",fec779
122,"255,221,127",ffdd7f
123,"255,246,133",fff685
124,"229,234,135",e5ea87
125,"170,212,138",aad48a
126,"155,211,174",9bd3ae
127,"151,213,202",97d5ca
128,"142,215,248",8ed7f8
129,"150,204,239",96ccef
130,"161,186,225",a1bae1
131,"172,167,211",aca7d3
132,"201,170,208",c9aad0
133,"229,171,206",e5abce
134,"246,173,205",f6adcd
135,"248,171,168",f8aba8
137,"249,170,143",f9aa8f
138,"251,185,149",fbb995
139,"255,216,161",ffd8a1
140,"254,231,167",fee7a7
141,"254,246,176",fef6b0
142,"237,240,174",edf0ae
143,"198,225,175",c6e1af
144,"204,231,212",cce9d4
145,"202,232,226",cae8e2
146,"199,234,251",c7eafb
147,"197,225,246",c5e1f6
148,"206,217,239",ced9ef
149,"209,207,232",d1cfe8
150,"225,209,231",e1d1e7
151,"240,212,230",f0d4e6
152,"251,214,230",fbd6e6
153,"252,212,206",fcd4ce
155,"252,211,194",fcd3c2
156,"253,218,197",fddac5
157,"255,233,204",ffe9cc
158,"255,242,209",fff2d1
159,"254,250,215",fefad7
160,"244,247,214",f4f7d6
161,"224,238,212",e0eed4
162,"35,31,32",231f20
163,"65,65,66",414142
164,"89,89,92",59595c
165,"123,125,127",7b7d7f
166,"147,149,152",939598
167,"178,180,182",b2b4b6
168,"210,211,212",d2d3d4
169,"231,231,232",e7e7e8
170,"0,0,0",0