Colour ID,RGB,Hex,
001,000-060-016,003c10,
002,000-060-067,003c43,
003,000-061-088,003d58,
004,000-052-081,003451,
005,000-032-068,002044,
006,017-000-055,110037,
007,049-000-051,310033,
008,074-000-045,4a002d,
009,086-000-043,56002b,
010,084-000-004,540004,
011,084-000-000,540000,
012,085-037-000,552500,
013,086-053-000,563500,
014,087-068-000,574400,
015,088-083-000,585300,
016,068-077-000,444d00,
017,019-067-005,134305,
018,000-088-038,005826,
019,000-089-073,005949,
020,000-091-127,005b7f,
021,000-080-117,005075,
022,000-057-100,003964,
023,038-029-084,261d54,
024,076-018-079,4c124f,
025,107-000-073,6b0049,
026,123-000-070,7b0046,
027,121-000-032,790020,
029,121-000-000,790000,
030,124-063-000,7c3f00,
031,126-083-000,7e5300,
032,128-103-000,806700,
033,130-123-000,827b00,
034,105-114-006,697206,
035,047-099-028,2f631c,
036,000-114-054,007236,
037,000-115-096,007360,
038,000-118-163,0076a3,
039,000-105-151,006997,
040,000-079-130,004f82,
041,054-048-110,36306e,
042,100-037-104,642568,
043,138-009-097,8a0961,
044,158-000-093,9e005d,
045,158-000-050,9e0032,
047,150-011-015,960b0f,
048,162-085-011,a2550b,
049,164-110-008,a46e08,
050,168-135-001,a88701,
051,171-160-000,aba000,
052,139-148-020,8b9414,
053,070-129-043,46812b,
054,000-140-068,008c44,
055,000-142-119,008e77,
056,000-146-200,0092c8,
057,000-130-186,0082ba,
058,000-099-159,00639f,
059,068-064-136,444088,
060,124-053-128,7c3580,
061,171-027-120,ab1b78,
062,196-000-117,c40075,
063,196-013-066,c40d42,
065,196-022-028,c4161c,
066,202-108-024,ca6c18,
067,206-138-020,ce8a14,
068,211-168-009,d3a809,
069,216-200-000,d8c800,
070,176-185-029,b0b91d,
071,092-160-056,5ca038,
072,000-166-081,00a651,
073,000-168-142,00a88e,
074,000-174-239,00aeef,
075,000-155-222,009bde,
076,000-119-190,0077be,
077,082-079-161,524fa1,
078,147-067-153,934399,
079,205-000-140,cd008c,
080,236-000-140,ec008c,
081,237-028-036,ed1c24,
082,243-112-033,f37021,
083,250-166-026,faa61a,
084,255-203-005,ffcb05,
085,250-166-026,faa61a,
086,255-203-005,ffcb05,
087,255-242-000,fff200,
088,215-223-035,d7df23,
089,114-191-068,72bf44,
090,000-178-107,00b26b,
091,000-181-160,00b5a0,
092,000-185-242,00b9f2,
093,000-169-227,00a9e3,
094,077-137-200,4d89c8,
095,111-105-176,6f69b0,
096,163-102-170,a366aa,
097,212-095-164,d45fa4,
098,239-091-161,ef5ba1,
099,241-091-105,f15b69,
101,241-091-064,f15b40,
102,244-124-68,f47c44,
103,252-182-076,fcb64c,
104,255-212-079,ffd44f,
105,255-244-080,fff450,
106,222-228-089,dee459,
107,143-200-100,8fc864,
108,103-193-140,67c18c,
109,094-196-180,5ec4b4,
110,068-200-245,44c8f5,
111,092-185-233,5cb9e9,
112,120-160-212,78a0d4,
113,139-133-192,8b85c0,
114,181-134-188,b586bc,
115,220-134-184,dc86b8,
116,242-135-183,f287b7,
117,244-133-134,f48586,
119,245-132-102,f58466,
120,247-153-108,f7996c,
121,254-199-121,fec779,
122,255-221-127,ffdd7f,
123,255-246-133,fff685,
124,229-234-135,e5ea87,
125,170-212-138,aad48a,
126,155-211-174,9bd3ae,
127,151-213-202,97d5ca,
128,142-215-248,8ed7f8,
129,150-204-239,96ccef,
130,161-186-225,a1bae1,
131,172-167-211,aca7d3,
132,201-170-208,c9aad0,
133,229-171-206,e5abce,
134,246-173-205,f6adcd,
135,248-171-168,f8aba8,
137,249-170-143,f9aa8f,
138,251-185-149,fbb995,
139,255-216-161,ffd8a1,
140,254-231-167,fee7a7,
141,254-246-176,fef6b0,
142,237-240-174,edf0ae,
143,198-225-175,c6e1af,
144,204-231-212,cce9d4,
145,202-232-226,cae8e2,
146,199-234-251,c7eafb,
147,197-225-246,c5e1f6,
148,206-217-239,ced9ef,
149,209-207-232,d1cfe8,
150,225-209-231,e1d1e7,
151,240-212-230,f0d4e6,
152,251-214-230,fbd6e6,
153,252-212-206,fcd4ce,
155,252-211-194,fcd3c2,
156,253-218-197,fddac5,
157,255-233-204,ffe9cc,
158,255-242-209,fff2d1,
159,254-250-215,fefad7,
160,244-247-214,f4f7d6,
161,224-238-212,e0eed4,
162,035-031-032,231f20,
163,065-065-066,414142,
164,089-089-092,59595c,
165,123-125-127,7b7d7f,
166,147-149-152,939598,
167,178-180-182,b2b4b6,
168,210-211-212,d2d3d4,
169,231-231-232,e7e7e8,
170,000-000-000,000000,